operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value,date_str,date_parsed,time_period,year,half_year,fractional_year
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),NA,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),NA,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Water (ML),NA,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,NA,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),NA,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),NA,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),NA,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Water (ML),NA,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,NA,31/12/2012,2012-12-31,H2 2012,2012,0.5,2012.5
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),NA,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),NA,30/06/2013,2013-06-30,H1 2013,2013,NA,NA
